time,open,high,low,close,Volume
2024-01-22T00:00:00Z,2455.37,2456.22,2454.69,2456.08,1.3055
2024-01-22T00:01:00Z,2456.28,2458.83,2456.28,2458.83,1.5948
2024-01-22T00:03:00Z,2456.05,2456.56,2456.05,2456.56,0.0916
2024-01-22T00:04:00Z,2456.99,2457.06,2456.85,2456.85,1.4257
2024-01-22T00:05:00Z,2455.94,2456.84,2455.88,2456.01,0.6556
2024-01-22T00:06:00Z,2455.8,2456.59,2455.8,2456.59,2.86
2024-01-22T00:08:00Z,2456.53,2456.53,2456.53,2456.53,0.0061
2024-01-22T00:09:00Z,2456.35,2456.96,2456.35,2456.4,3.1415
2024-01-22T00:10:00Z,2456.96,2456.96,2456.73,2456.73,0.8816
2024-01-22T00:11:00Z,2457.18,2458.39,2457.18,2458.14,0.4288
2024-01-22T00:12:00Z,2458.67,2458.67,2458.02,2458.02,1.6081
2024-01-22T00:13:00Z,2457.56,2457.76,2457.39,2457.39,0.0716
2024-01-22T00:14:00Z,2457.34,2457.34,2457.34,2457.34,0.0579
2024-01-22T00:15:00Z,2457.47,2460.79,2457.47,2460.75,20.5308
2024-01-22T00:16:00Z,2460.12,2461.72,2459.98,2461.72,1.7202
2024-01-22T00:17:00Z,2461.16,2462.16,2461.16,2461.65,1.9505
2024-01-22T00:18:00Z,2461.01,2461.01,2460.44,2460.44,0.5864
2024-01-22T00:19:00Z,2460.23,2460.23,2459.99,2459.99,0.8039
2024-01-22T00:20:00Z,2459.81,2460.88,2459.81,2460.88,0.3757
2024-01-22T00:21:00Z,2459.6,2459.6,2459.16,2459.16,0.1073
2024-01-22T00:22:00Z,2458.39,2458.39,2458.39,2458.39,0.4089
2024-01-22T00:24:00Z,2458.43,2458.43,2458.43,2458.43,0.0888
2024-01-22T00:25:00Z,2458.0,2458.0,2456.76,2456.76,0.1416
2024-01-22T00:26:00Z,2456.14,2456.14,2455.5,2455.5,0.1775
2024-01-22T00:27:00Z,2455.28,2455.28,2453.26,2453.26,3.6302
2024-01-22T00:28:00Z,2451.88,2453.27,2451.37,2453.27,6.7301
2024-01-22T00:29:00Z,2452.84,2453.42,2452.84,2453.42,2.2886
2024-01-22T00:30:00Z,2453.42,2454.85,2453.42,2454.85,2.5876
2024-01-22T00:31:00Z,2453.8,2453.8,2453.4,2453.4,0.096
2024-01-22T00:32:00Z,2453.07,2453.22,2453.07,2453.22,0.1499
2024-01-22T00:33:00Z,2452.92,2453.7,2452.92,2453.7,1.4172
2024-01-22T00:34:00Z,2453.55,2453.55,2453.55,2453.55,0.0888
2024-01-22T00:35:00Z,2454.88,2455.57,2454.88,2454.91,0.2776
