time,average
2024-01-22T00:00:00Z,2455.455
2024-01-22T00:01:00Z,2457.5550000000003
2024-01-22T00:03:00Z,2456.3050000000003
2024-01-22T00:04:00Z,2456.955
2024-01-22T00:05:00Z,2456.36
2024-01-22T00:06:00Z,2456.195
2024-01-22T00:08:00Z,2456.53
2024-01-22T00:09:00Z,2456.6549999999997
2024-01-22T00:10:00Z,2456.8450000000003
2024-01-22T00:11:00Z,2457.785
2024-01-22T00:12:00Z,2458.3450000000003
2024-01-22T00:13:00Z,2457.575
2024-01-22T00:14:00Z,2457.34
2024-01-22T00:15:00Z,2459.13
2024-01-22T00:16:00Z,2460.85
2024-01-22T00:17:00Z,2461.66
2024-01-22T00:18:00Z,2460.7250000000004
2024-01-22T00:19:00Z,2460.1099999999997
2024-01-22T00:20:00Z,2460.3450000000003
2024-01-22T00:21:00Z,2459.38
2024-01-22T00:22:00Z,2458.39
2024-01-22T00:24:00Z,2458.43
2024-01-22T00:25:00Z,2457.38
2024-01-22T00:26:00Z,2455.8199999999997
2024-01-22T00:27:00Z,2454.2700000000004
2024-01-22T00:28:00Z,2452.3199999999997
2024-01-22T00:29:00Z,2453.13
2024-01-22T00:30:00Z,2454.135
2024-01-22T00:31:00Z,2453.6000000000004
2024-01-22T00:32:00Z,2453.145
2024-01-22T00:33:00Z,2453.31
2024-01-22T00:34:00Z,2453.55
2024-01-22T00:35:00Z,2455.2250000000004
2024-01-22T00:36:00Z,2454.56
2024-01-22T00:37:00Z,2454.085
2024-01-22T00:38:00Z,2452.4300000000003
2024-01-22T00:39:00Z,2451.2250000000004
2024-01-22T00:40:00Z,2451.495
2024-01-22T00:41:00Z,2452.29
2024-01-22T00:42:00Z,2451.5299999999997
2024-01-22T00:43:00Z,2451.555
2024-01-22T00:44:00Z,2453.855
2024-01-22T00:45:00Z,2456.45
2024-01-22T00:46:00Z,2461.1099999999997
2024-01-22T00:47:00Z,2459.75
2024-01-22T00:48:00Z,2460.575
2024-01-22T00:49:00Z,2462.2650000000003
2024-01-22T00:50:00Z,2460.195
2024-01-22T00:51:00Z,2460.6000000000004
2024-01-22T00:52:00Z,2460.0600000000004
2024-01-22T00:54:00Z,2459.6
2024-01-22T00:55:00Z,2459.77
2024-01-22T00:56:00Z,2458.55
